Time                p[2016370]     p[2016375]     p[2052243]     p[2052248]     p[2052706]     p[2053166]     p[2053541]     p[2053916]
3.672300e+00       1560.779188    1186.189157     813.706720     401.357390     463.105731     370.989309     544.870595     162.026004
3.672600e+00       1537.246842    1157.851154     786.027418     389.052732     462.287028     380.715086     618.880700     365.459677
3.672900e+00       1545.793047    1172.790857     809.130217     437.254194     462.272158     365.053222     616.710346     450.881054
3.673200e+00       1551.274465    1177.709854     817.296601     450.285366     443.997601     350.967174     598.535413     446.934938
3.673500e+00       1560.443815    1187.442206     822.407387     448.682570     439.706545     338.307580     603.363544     477.812576
3.673800e+00       1556.947630    1181.971019     817.270593     447.036292     418.620560     318.955831     594.286284     507.343585
3.674100e+00       1556.442608    1177.334737     812.151558     459.531882     400.737424     300.562283     589.755479     507.471405
3.674400e+00       1548.399258    1173.875773     814.183747     467.865372     384.248546     261.655489     546.883275     371.307509
3.674700e+00       1548.662320    1177.249068     820.969952     474.411007     364.702473     260.706809     561.021124     431.931463
3.675000e+00       1562.210142    1192.975314     840.890180     495.454128     349.264751     257.804874     580.446064     469.333739
3.675300e+00       1561.963445    1190.354477     837.849634     490.522417     303.062089     118.345263     544.550833     452.509784
3.675600e+00       1552.734436    1180.183461     828.230230     482.792420     291.579187     206.722408     567.193338     486.175873
3.675900e+00       1554.484196    1184.155752     836.096474     492.027942     283.720503     230.845937     565.410242     502.279094
3.676200e+00       1529.894537    1150.237604     793.790003     466.210348     242.076137     221.175033     553.888555     498.953337
3.676500e+00       1537.988533    1166.866460     823.793754     493.414629     248.996994     220.028435     550.533211     489.352536
3.676800e+00       1557.167491    1190.099387     847.178449     508.720368     235.479967     208.339799     546.147571     487.384474
3.677100e+00       1561.405366    1191.660018     842.317718     490.707176     211.882777     189.203264     518.994830     397.337477
3.677400e+00       1542.221868    1176.008120     843.946837     507.654804     195.883114     163.472642     490.742227     413.523531
3.677700e+00       1536.324657    1171.543685     832.121760     494.546878     192.049550     167.422356     524.502273     443.593831
3.678000e+00       1545.786976    1176.832975     833.128753     486.763644     167.543520     141.543320     517.459369     420.490026
3.678300e+00       1568.838624    1201.189396     856.872969     510.888391     168.728251     130.534067     508.894728     365.225045
3.678600e+00       1576.422972    1207.556785     862.117320     517.613228     153.449696     116.799529     502.788193     344.746569
3.678900e+00       1571.342145    1200.213764     853.911880     513.138456     138.253550      92.993747     482.683431     355.450727
3.679200e+00       1566.705250    1193.950298     846.665885     503.023423     150.532325      79.544506     488.317513     318.288824
3.679500e+00       1559.175703    1185.105586     830.684898     461.281763     153.386811      78.146119     498.123374     379.075933
3.679800e+00       1546.541124    1175.566143     832.357761     493.640410     152.704386      16.021292     433.430909     326.928520
3.680100e+00       1548.993428    1178.679577     834.260392     491.205231     161.746319      65.135950     471.213620     322.356491
3.680400e+00       1522.190875    1159.223358     827.203560     498.705342     175.012394      83.573879     488.551855     342.891123
3.680700e+00       1522.972878    1161.733839     828.085961     502.265469     160.298096       6.572998     446.917782     296.988244
3.681000e+00       1530.204669    1153.291663     806.318402     491.456832     165.087620      54.977779     473.545767     303.487492
3.681300e+00       1545.702974    1169.818566     825.245980     512.659687     206.445896      59.590710     464.022393     297.620569
3.681600e+00       1558.365870    1180.990481     833.814544     519.081248     214.083891      54.038167     447.063364     282.570524
3.681900e+00       1552.942203    1172.850606     821.672422     514.512715     224.282148      57.113007     456.566512     293.572887
3.682200e+00       1543.543248    1164.655564     818.307568     515.772009     235.653152      51.968635     447.363072     277.640968
3.682500e+00       1533.412355    1144.359272     808.837938     509.579445     261.556276      50.102158     431.919347     217.630237
3.682800e+00       1541.785915    1161.173306     814.026605     510.533801     283.416483      57.984103     417.366195     196.022359
3.683100e+00       1525.353280    1137.039590     769.930061     496.155299     300.084086      46.961845     409.037135     231.800083
3.683400e+00       1514.081060    1132.844242     774.595965     451.752180     307.385356      55.137242     375.442790     135.495421
3.683700e+00       1534.989938    1156.213516     801.972379     501.660341     338.517948      69.152200     424.289018     251.461967
3.684000e+00       1527.332134    1142.988836     783.074772     501.671794     318.985652      60.348476     408.819858     242.495880
3.684300e+00       1533.885734    1154.276051     798.612381     530.751226     368.051146      91.145544     440.426800     300.322145
3.684600e+00       1542.493161    1161.193053     799.120340     528.608385     369.387996      96.339664     438.644269     308.521337
3.684900e+00       1554.036437    1167.957575     796.080630     498.558999     393.422593      60.258423     396.600311     300.609269
3.685200e+00       1567.928107    1180.086100     809.316943     529.925262     385.116401     106.488412     409.121472     290.273765
3.685500e+00       1565.327289    1174.240861     800.056529     532.678074     409.156176      97.378913     394.292213     255.230423
3.685800e+00       1544.437782    1157.569018     792.618118     540.609334     433.565368     133.254160     399.217764     257.378459
3.686100e+00       1534.334100    1143.368644     771.068203     528.995861     452.640312     149.730814     409.345689     276.161798
3.686400e+00       1526.782765    1141.367169     780.256805     544.059942     463.019871     156.827989     407.954283     262.513085
3.686700e+00       1553.748277    1158.085944     771.435264     514.129287     445.382751     162.631164     392.673672     244.369401
3.687000e+00       1577.138370    1175.101678     782.014003     528.286152     481.191552     183.490044     369.037238     174.267612
3.687300e+00       1568.687552    1161.205761     760.340542     493.697971     470.289652     180.979002     349.962947      68.402237
3.687600e+00       1559.822761    1151.894908     770.383260     530.032482     500.909833     219.845989     388.855523     161.869086
3.687900e+00       1566.123923    1127.795974     779.201719     539.139123     501.820104     234.009226     389.682933     286.903130
3.688200e+00       1593.526595    1172.068070     790.318688     535.800992     516.688181     256.162298     383.698066     308.270203
3.688500e+00       1601.266474    1169.409811     774.625950     536.009448     506.223153     243.971906     380.067644     309.451570
3.688800e+00       1591.219984    1169.821555     759.759820     488.024095     508.805681     276.683340     376.117627     280.275962
3.689100e+00       1575.213933    1160.769449     758.671285     520.973571     513.061679     303.720260     396.556394     318.641525
3.689400e+00       1552.375859    1141.662965     742.237355     519.339945     506.089262     311.336753     380.865811     296.466205
3.689700e+00       1570.945825    1160.771784     760.839065     532.323254     510.254150     332.815103     382.141761     292.239316
3.690000e+00       1587.338509    1175.251556     771.092196     545.136767     511.174743     344.881335     375.288447     280.232106
3.690300e+00       1601.213981    1182.952516     770.228093     545.659021     499.718598     357.479912     390.899812     296.921997
3.690600e+00       1607.813073    1183.576702     765.069995     538.237769     503.527654     371.606835     378.769275     223.788852
3.690900e+00       1604.968624    1184.716564     777.874591     556.259252     501.430170     380.775738     382.003803     261.574074
3.691200e+00       1614.511253    1196.739245     784.413697     540.722107     503.344744     398.002698     391.739203     320.551856
3.691500e+00       1600.420742    1176.538279     761.146720     532.189117     496.867768     405.980728     384.687883     325.027046
3.691800e+00       1602.215503    1177.142909     764.745811     541.074128     494.152234     421.737294     391.361017     327.370111
3.692100e+00       1597.024610    1168.853638     748.119823     504.628913     469.578493     421.570332     389.853281     331.185088
