Time                 p[297735]      p[297738]      p[297740]      p[297743]      p[298073]      p[312768]      p[313164]      p[313898]
7.092000e-01       3171.572956    3491.201736    3035.375725    1554.039912       0.000000       0.000000       0.000000       0.000000
7.098000e-01       3035.063457    3376.449613    3070.892598    2177.341270       0.000000       0.000000       0.000000       0.000000
7.104000e-01       3106.656267    3114.947853    2416.381345    1784.898122       0.000000       0.000000       0.000000       0.000000
7.110000e-01       3159.021795    3175.889698    2537.707001    2261.787800       0.000000       0.000000       0.000000       0.000000
7.116000e-01       2985.226015    3053.262149    2337.977705    2374.747287       0.000000       0.000000       0.000000       0.000000
7.122000e-01       2906.493502    2902.255796    2168.873954    2534.068321       0.000000       0.000000       0.000000       0.000000
7.128000e-01       3076.413138    3040.415044    2250.453556    2655.574599       0.000000       0.000000       0.000000       0.000000
7.134000e-01       2974.879271    2982.305398    2257.041011    2735.446642       0.000000       0.000000       0.000000       0.000000
7.140000e-01       3303.318483    3378.713019    2587.473351    1732.366030       0.000000       0.000000       0.000000       0.000000
7.146000e-01       3566.610365    3470.072714    2536.591500    2288.624952       0.000000       0.000000       0.000000       0.000000
7.152000e-01       3631.442375    3449.079439    2467.672684    2437.909260       0.000000       0.000000       0.000000       0.000000
7.158000e-01       3521.628139    3447.041533    2627.413569    2712.667990       0.000000       0.000000       0.000000       0.000000
7.164000e-01       3675.575628    3650.708675    3022.207217    3016.605708       0.000000       0.000000       0.000000       0.000000
7.170000e-01       3640.858463    3621.340067    3051.022982    2915.436801       0.000000       0.000000       0.000000       0.000000
7.176000e-01       3377.836009    3659.094986    2934.653251    2690.458475       0.000000       0.000000       0.000000       0.000000
7.182000e-01       3768.590361    4041.093529    3287.839447    2551.122464       0.000000       0.000000       0.000000       0.000000
7.188000e-01       3381.950676    3716.604165    3128.309129    2220.864838       0.000000       0.000000       0.000000       0.000000
7.194000e-01       3588.500437    3885.350769    3322.545961    2115.049687       0.000000       0.000000       0.000000       0.000000
7.200000e-01       3578.842705    3647.250299    3057.475207    1733.470472       0.000000       0.000000       0.000000       0.000000
7.206000e-01       3685.499210    3703.913037    3258.395079    1536.733774       0.000000       0.000000       0.000000       0.000000
7.212000e-01       3530.126562    3657.288260    3408.279816    1519.259588       0.000000       0.000000       0.000000       0.000000
7.218000e-01       3503.698120    3591.524273    3575.220278    1644.889567       0.000000       0.000000       0.000000       0.000000
7.224000e-01       3239.907341    3118.557068    3072.863902    1527.592028       0.000000       0.000000       0.000000       0.000000
7.230000e-01       3562.325610    3566.199397    3645.155432    1838.448125       0.000000       0.000000       0.000000       0.000000
7.236000e-01       3343.648264    2965.735550    2794.551145    1306.077000       0.000000       0.000000       0.000000       0.000000
7.242000e-01       3360.450303    3106.181944    3372.978214       0.000000       0.000000       0.000000       0.000000       0.000000
7.248000e-01       3097.449692    2687.422027    3058.309170       0.000000       0.000000       0.000000       0.000000       0.000000
7.254000e-01       2921.109340    2327.353014    2794.786436       0.000000       0.000000       0.000000       0.000000       0.000000
7.260000e-01       2816.075823    2114.903355    2680.275451     316.531380       0.000000       0.000000       0.000000       0.000000
7.266000e-01       3125.169236    2613.974202    2888.726007     548.266221       0.000000       0.000000       0.000000       0.000000
7.272000e-01       3093.837368    2640.540854    2821.447924     703.161034       0.000000       0.000000       0.000000       0.000000
7.278000e-01       3080.365292    2837.620813    3167.810369    1383.149893       0.000000       0.000000       0.000000       0.000000
7.284000e-01       2631.293721    2283.729262    2481.131784     774.330905       0.000000       0.000000       0.000000       0.000000
7.290000e-01       2952.241433    2671.546874    2921.264070    1247.567006       0.000000       0.000000       0.000000       0.000000
7.296000e-01       3165.140666    2877.292395    3124.246056    1505.664254       0.000000       0.000000       0.000000       0.000000
7.302000e-01       3019.970481    2624.846996    2759.669322     896.335147       0.000000       0.000000       0.000000       0.000000
7.308000e-01       3320.992723    2868.986622    2898.112167    1110.406113       0.000000       0.000000       0.000000       0.000000
7.314000e-01       3349.760605    3028.921976    3178.613118    1522.658633       0.000000       0.000000       0.000000       0.000000
7.320000e-01       3220.324644    2827.376156    2817.570357     728.916112       0.000000       0.000000       0.000000       0.000000
7.326000e-01       3535.130209    3181.840460    3221.089067     799.954644       0.000000       0.000000       0.000000       0.000000
7.332000e-01       3322.974500    2850.610532    2856.563584       0.000000       0.000000       0.000000       0.000000       0.000000
7.338000e-01       3376.719557    2805.762723    3093.394304     354.460912       0.000000       0.000000       0.000000       0.000000
7.344000e-01       3310.009245    2763.494265    2744.673623       0.000000       0.000000       0.000000       0.000000       0.000000
7.350000e-01       3288.448067    2722.061748    2676.358983       0.000000       0.000000       0.000000       0.000000       0.000000
7.356000e-01       3474.742356    2978.303624    2887.597404       0.000000       0.000000       0.000000       0.000000       0.000000
7.362000e-01       3523.792193    3035.622972    2875.878270     123.669944       0.000000       0.000000       0.000000       0.000000
7.368000e-01       3159.011717    2791.842852    2403.332632     351.553011       0.000000       0.000000       0.000000       0.000000
7.374000e-01       3324.944329    2828.064164    2565.601751     913.333122       0.000000       0.000000       0.000000       0.000000
7.380000e-01       3198.142029    2799.620705    2542.122136    1205.914675       0.000000       0.000000       0.000000       0.000000
7.386000e-01       3215.983727    2881.069963    2610.388603    1363.743214       0.000000       0.000000       0.000000       0.000000
7.392000e-01       3322.153779    2807.225475    2331.200297    1175.595795       0.000000       0.000000       0.000000       0.000000
7.398000e-01       3101.253203    2345.060912    2152.594136    1327.171254       0.000000       0.000000       0.000000       0.000000
7.404000e-01       3447.454381    2736.539880    2307.640640    1305.585497       0.000000       0.000000       0.000000       0.000000
7.410000e-01       3475.795713    2688.438631    2207.276594    1129.404633       0.000000       0.000000       0.000000       0.000000
