Time                  p[54016]       p[54018]       p[54019]       p[54020]       p[54036]       p[54194]       p[54352]       p[54668]
1.177200e+00       2605.072343    1323.537329     227.869339       0.000000       0.000000       0.000000       0.000000       0.000000
1.178400e+00       2654.288097    1548.638189     379.311368       0.000000       0.000000       0.000000       0.000000       0.000000
1.179600e+00       2840.191469    1835.787890     636.253623       0.000000       0.000000       0.000000       0.000000       0.000000
1.180800e+00       3052.937303    2090.408512     864.679639       0.000000       0.000000       0.000000       0.000000       0.000000
1.182000e+00       3030.240374    2074.195979     916.058560       0.000000       0.000000       0.000000       0.000000       0.000000
1.183200e+00       3259.177335    2197.256899    1110.771414      19.794134     569.038566       0.000000       0.000000       0.000000
1.184400e+00       3330.902472    2184.435004    1186.728763      95.008541     646.037701       0.000000       0.000000       0.000000
1.185600e+00       3097.779425    1979.128565    1162.300726     164.352823     452.399970       0.000000       0.000000       0.000000
1.186800e+00       3026.714001    1832.325551     838.733337       0.000000       0.000000       0.000000       0.000000       0.000000
1.188000e+00       3320.185633    2050.086709    1150.346515       0.000000       0.000000       0.000000       0.000000       0.000000
1.189200e+00       3582.806538    2298.824607    1615.548824     726.464078     184.291174       0.000000       0.000000       0.000000
1.190400e+00       2464.454145    1730.210414    1319.867971     647.586067       0.000000       0.000000       0.000000       0.000000
1.191600e+00       2969.260101    2119.624059    1642.156253     874.318644     348.514406       0.000000       0.000000       0.000000
1.192800e+00       2880.025034    1968.628130    1581.859437       0.000000     315.889143       0.000000       0.000000       0.000000
1.194000e+00       3223.170615    2156.088636    1866.628863       0.000000     544.231716       0.000000       0.000000       0.000000
1.195200e+00       3020.432611    2028.727060    1554.242683       0.000000       0.000000       0.000000       0.000000       0.000000
1.196400e+00       3252.896777    2366.404484    2082.909747       0.000000       0.000000       0.000000       0.000000       0.000000
1.197600e+00       3199.306111    2218.466840    2236.400608      78.592225       0.000000       0.000000       0.000000       0.000000
1.198800e+00       3101.961105    2252.534475    2344.941711     403.512634       0.000000       0.000000       0.000000       0.000000
1.200000e+00       2573.627298    2195.028970    2305.991761     529.065479       0.000000       0.000000       0.000000       0.000000
1.201200e+00       2873.740538    2429.929105    2443.023956     663.752327       0.000000       0.000000       0.000000       0.000000
1.202400e+00       2557.836634    2341.639617    2431.309662     969.409264       0.000000       0.000000       0.000000       0.000000
1.203600e+00       2558.176530    2350.858271    2355.140709    1171.749964       0.000000       0.000000       0.000000       0.000000
1.204800e+00       2800.060838    2382.145934    2421.498180    1524.914536       0.000000       0.000000       0.000000       0.000000
1.206000e+00       2982.440827    2559.336560    2418.648539    1730.552903       0.000000       0.000000       0.000000       0.000000
1.207200e+00       2754.198043    2318.116319    2103.841038    1646.765119       0.000000       0.000000       0.000000       0.000000
1.208400e+00       2609.037628    2568.543577    2352.383847    2213.377377     678.565167       0.000000       0.000000       0.000000
1.209600e+00       2443.994805    2104.364234    1499.165294    1692.928449     332.124546       0.000000       0.000000       0.000000
1.210800e+00       2354.802569    2215.141888    1476.178626    1632.650507     329.494352       0.000000       0.000000       0.000000
1.212000e+00       2346.658185    2419.654733    1562.188460    1710.160373     406.897672       0.000000       0.000000       0.000000
1.213200e+00       1895.890375    2348.295898    1356.053827    1429.604571     408.149668       0.000000       0.000000       0.000000
1.214400e+00       2826.364959    2950.745133    1588.319607    1433.341986       0.000000       0.000000       0.000000       0.000000
1.215600e+00       2801.128029    2751.089033    1018.492713       0.000000       0.000000       0.000000       0.000000       0.000000
1.216800e+00       2584.765617    2939.084360    1287.672651       0.000000       0.000000       0.000000       0.000000       0.000000
1.218000e+00       2625.994465    2981.574059    1400.583450       0.000000       0.000000       0.000000       0.000000       0.000000
1.219200e+00       2640.092362    3145.088243    1622.269742       0.000000       0.000000       0.000000       0.000000       0.000000
1.220400e+00       2708.865111    2736.584725     615.975110       0.000000       0.000000       0.000000       0.000000       0.000000
1.221600e+00       2722.742737    3035.752137    1056.190556       0.000000       0.000000       0.000000       0.000000       0.000000
1.222800e+00       2662.405034    3123.868956    1266.703722       0.000000       0.000000       0.000000       0.000000       0.000000
1.224000e+00       2466.620679    3176.903056    1468.439575       0.000000       0.000000       0.000000       0.000000       0.000000
1.225200e+00       2471.349567    3206.972514    1566.492335       0.000000       0.000000       0.000000       0.000000       0.000000
1.226400e+00       2572.218697    3190.633279    1597.435928       0.000000       0.000000       0.000000       0.000000       0.000000
1.227600e+00       2588.174735    3175.397457    1611.888842       0.000000       0.000000       0.000000       0.000000       0.000000
1.228800e+00       2848.514093    3424.783407    1903.626517       0.000000       0.000000       0.000000       0.000000       0.000000
1.230000e+00       2624.215234    3154.668623    1783.941754       0.000000       0.000000       0.000000       0.000000       0.000000
1.231200e+00       2960.288283    3315.922480    1933.669570       0.000000       0.000000       0.000000       0.000000       0.000000
1.232400e+00       2652.246243    3004.974727    1714.962912       0.000000       0.000000       0.000000       0.000000       0.000000
1.233600e+00       1892.368567    2514.228158    1445.216236       9.818031       0.000000       0.000000       0.000000       0.000000
1.234800e+00       2671.211782    2932.313985    1854.551458     734.490979       0.000000       0.000000       0.000000       0.000000
1.236000e+00       2771.590160    2807.050506    1704.355907     726.777275       0.000000       0.000000       0.000000       0.000000
